source,role,model_id,task_id,grid_id,repetition,status,condition,label,head,family,weight_mode,head_weight,negative_weight,evidence,objective_json,initialization_seed,training_seed,artifact,weights_available,history_available,manifest,data_contract,backbone_contract,training_contract,config_matches_manifest,ready,duplicate_seed_condition,raw_label,model_alias,display_label,display_order,color,line_style,marker,tags_json
historical_bce,baseline,historical_bce/task_000000,task_000000,grid_0000,0,completed,81fea4dad4ea,balanced BCE,molecule_primary,ClassBalancedMultiLabelBCELoss,none,0.2,0.0,{},"{""heads"": {""molecule_primary"": {""balanced_bce"": {""params"": {""class_balance_method"": ""train_inverse_prevalence"", ""max_positive_weight"": 20.0, ""reduction"": ""balanced_class_mean"", ""unknown_label_policy"": ""assume_negative""}, ""target"": ""ClassBalancedMultiLabelBCELoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}}",91154199,32238397,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/bce-baseline-20260905-01__task_000000,True,True,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/configs/entropy-runs/bce-baseline-20260905-01/plan/status/task_000000.yaml,ff133cd42f7af414ee3022e7947f94bcd301e0ce338f93da55895867ef10c9a7,63d67af42e30038bef1fbb98125bd6ccad588380dabc4de668acc50167a34723,a5d7efb7a6ea62831b16487e6675ffb395f704c73922c1a120913c22964c0a08,True,True,False,balanced_bce (ClassBalancedMultiLabelBCELoss),baseline,balanced BCE,0,#4D4D4D,solid,o,"{""contrastive"": false, ""family"": ""bce""}"
historical_bce,baseline,historical_bce/task_000001,task_000001,grid_0000,1,completed,81fea4dad4ea,balanced BCE,molecule_primary,ClassBalancedMultiLabelBCELoss,none,0.2,0.0,{},"{""heads"": {""molecule_primary"": {""balanced_bce"": {""params"": {""class_balance_method"": ""train_inverse_prevalence"", ""max_positive_weight"": 20.0, ""reduction"": ""balanced_class_mean"", ""unknown_label_policy"": ""assume_negative""}, ""target"": ""ClassBalancedMultiLabelBCELoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}}",919377028,892754137,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/bce-baseline-20260905-01__task_000001,True,True,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/configs/entropy-runs/bce-baseline-20260905-01/plan/status/task_000001.yaml,ff133cd42f7af414ee3022e7947f94bcd301e0ce338f93da55895867ef10c9a7,63d67af42e30038bef1fbb98125bd6ccad588380dabc4de668acc50167a34723,a5d7efb7a6ea62831b16487e6675ffb395f704c73922c1a120913c22964c0a08,True,True,False,balanced_bce (ClassBalancedMultiLabelBCELoss),baseline,balanced BCE,0,#4D4D4D,solid,o,"{""contrastive"": false, ""family"": ""bce""}"
historical_bce,baseline,historical_bce/task_000002,task_000002,grid_0000,2,completed,81fea4dad4ea,balanced BCE,molecule_primary,ClassBalancedMultiLabelBCELoss,none,0.2,0.0,{},"{""heads"": {""molecule_primary"": {""balanced_bce"": {""params"": {""class_balance_method"": ""train_inverse_prevalence"", ""max_positive_weight"": 20.0, ""reduction"": ""balanced_class_mean"", ""unknown_label_policy"": ""assume_negative""}, ""target"": ""ClassBalancedMultiLabelBCELoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}}",2136253289,442265914,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/bce-baseline-20260905-01__task_000002,True,True,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/configs/entropy-runs/bce-baseline-20260905-01/plan/status/task_000002.yaml,ff133cd42f7af414ee3022e7947f94bcd301e0ce338f93da55895867ef10c9a7,63d67af42e30038bef1fbb98125bd6ccad588380dabc4de668acc50167a34723,a5d7efb7a6ea62831b16487e6675ffb395f704c73922c1a120913c22964c0a08,True,True,False,balanced_bce (ClassBalancedMultiLabelBCELoss),baseline,balanced BCE,0,#4D4D4D,solid,o,"{""contrastive"": false, ""family"": ""bce""}"
historical_bce,baseline,historical_bce/task_000003,task_000003,grid_0000,3,completed,81fea4dad4ea,balanced BCE,molecule_primary,ClassBalancedMultiLabelBCELoss,none,0.2,0.0,{},"{""heads"": {""molecule_primary"": {""balanced_bce"": {""params"": {""class_balance_method"": ""train_inverse_prevalence"", ""max_positive_weight"": 20.0, ""reduction"": ""balanced_class_mean"", ""unknown_label_policy"": ""assume_negative""}, ""target"": ""ClassBalancedMultiLabelBCELoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}}",276187349,194761695,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/bce-baseline-20260905-01__task_000003,True,True,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/configs/entropy-runs/bce-baseline-20260905-01/plan/status/task_000003.yaml,ff133cd42f7af414ee3022e7947f94bcd301e0ce338f93da55895867ef10c9a7,63d67af42e30038bef1fbb98125bd6ccad588380dabc4de668acc50167a34723,a5d7efb7a6ea62831b16487e6675ffb395f704c73922c1a120913c22964c0a08,True,True,False,balanced_bce (ClassBalancedMultiLabelBCELoss),baseline,balanced BCE,0,#4D4D4D,solid,o,"{""contrastive"": false, ""family"": ""bce""}"
historical_bce,baseline,historical_bce/task_000004,task_000004,grid_0000,4,completed,81fea4dad4ea,balanced BCE,molecule_primary,ClassBalancedMultiLabelBCELoss,none,0.2,0.0,{},"{""heads"": {""molecule_primary"": {""balanced_bce"": {""params"": {""class_balance_method"": ""train_inverse_prevalence"", ""max_positive_weight"": 20.0, ""reduction"": ""balanced_class_mean"", ""unknown_label_policy"": ""assume_negative""}, ""target"": ""ClassBalancedMultiLabelBCELoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}}",1915557887,1927548799,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/bce-baseline-20260905-01__task_000004,True,True,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/configs/entropy-runs/bce-baseline-20260905-01/plan/status/task_000004.yaml,ff133cd42f7af414ee3022e7947f94bcd301e0ce338f93da55895867ef10c9a7,63d67af42e30038bef1fbb98125bd6ccad588380dabc4de668acc50167a34723,a5d7efb7a6ea62831b16487e6675ffb395f704c73922c1a120913c22964c0a08,True,True,False,balanced_bce (ClassBalancedMultiLabelBCELoss),baseline,balanced BCE,0,#4D4D4D,solid,o,"{""contrastive"": false, ""family"": ""bce""}"
predictive_initial,candidate,predictive_initial/task_000000,task_000000,grid_0000,0,completed,061bcbfb8c04,BCE + global positive penalty,molecule_binary,PositiveWeightedMultiLabelBCELoss,global_sqrt_negative_to_positive,0.2,0.0,{},"{""heads"": {""molecule_binary"": {""bce_global_positive_penalty"": {""params"": {""max_positive_weight"": 10.0, ""minimum_positive_count"": 10, ""positive_weight_mode"": ""global_sqrt_negative_to_positive""}, ""target"": ""PositiveWeightedMultiLabelBCELoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}}",91154199,32238397,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/predictive-heads-initial-20260908-01__task_000000,True,True,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/configs/entropy-runs/predictive-heads-initial-20260908-01/plan/status/task_000000.yaml,ff133cd42f7af414ee3022e7947f94bcd301e0ce338f93da55895867ef10c9a7,63d67af42e30038bef1fbb98125bd6ccad588380dabc4de668acc50167a34723,a5d7efb7a6ea62831b16487e6675ffb395f704c73922c1a120913c22964c0a08,True,True,False,bce_global_positive_penalty (PositiveWeightedMultiLabelBCELoss),bce_global_positive_penalty,BCE + global positive penalty,1,#999999,solid,s,"{""family"": ""bce"", ""positive_penalty"": ""global""}"
predictive_initial,candidate,predictive_initial/task_000001,task_000001,grid_0000,1,completed,061bcbfb8c04,BCE + global positive penalty,molecule_binary,PositiveWeightedMultiLabelBCELoss,global_sqrt_negative_to_positive,0.2,0.0,{},"{""heads"": {""molecule_binary"": {""bce_global_positive_penalty"": {""params"": {""max_positive_weight"": 10.0, ""minimum_positive_count"": 10, ""positive_weight_mode"": ""global_sqrt_negative_to_positive""}, ""target"": ""PositiveWeightedMultiLabelBCELoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}}",919377028,892754137,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/predictive-heads-initial-20260908-01__task_000001,True,True,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/configs/entropy-runs/predictive-heads-initial-20260908-01/plan/status/task_000001.yaml,ff133cd42f7af414ee3022e7947f94bcd301e0ce338f93da55895867ef10c9a7,63d67af42e30038bef1fbb98125bd6ccad588380dabc4de668acc50167a34723,a5d7efb7a6ea62831b16487e6675ffb395f704c73922c1a120913c22964c0a08,True,True,False,bce_global_positive_penalty (PositiveWeightedMultiLabelBCELoss),bce_global_positive_penalty,BCE + global positive penalty,1,#999999,solid,s,"{""family"": ""bce"", ""positive_penalty"": ""global""}"
predictive_initial,candidate,predictive_initial/task_000002,task_000002,grid_0000,2,completed,061bcbfb8c04,BCE + global positive penalty,molecule_binary,PositiveWeightedMultiLabelBCELoss,global_sqrt_negative_to_positive,0.2,0.0,{},"{""heads"": {""molecule_binary"": {""bce_global_positive_penalty"": {""params"": {""max_positive_weight"": 10.0, ""minimum_positive_count"": 10, ""positive_weight_mode"": ""global_sqrt_negative_to_positive""}, ""target"": ""PositiveWeightedMultiLabelBCELoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}}",2136253289,442265914,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/predictive-heads-initial-20260908-01__task_000002,True,True,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/configs/entropy-runs/predictive-heads-initial-20260908-01/plan/status/task_000002.yaml,ff133cd42f7af414ee3022e7947f94bcd301e0ce338f93da55895867ef10c9a7,63d67af42e30038bef1fbb98125bd6ccad588380dabc4de668acc50167a34723,a5d7efb7a6ea62831b16487e6675ffb395f704c73922c1a120913c22964c0a08,True,True,False,bce_global_positive_penalty (PositiveWeightedMultiLabelBCELoss),bce_global_positive_penalty,BCE + global positive penalty,1,#999999,solid,s,"{""family"": ""bce"", ""positive_penalty"": ""global""}"
predictive_initial,candidate,predictive_initial/task_000003,task_000003,grid_0000,3,completed,061bcbfb8c04,BCE + global positive penalty,molecule_binary,PositiveWeightedMultiLabelBCELoss,global_sqrt_negative_to_positive,0.2,0.0,{},"{""heads"": {""molecule_binary"": {""bce_global_positive_penalty"": {""params"": {""max_positive_weight"": 10.0, ""minimum_positive_count"": 10, ""positive_weight_mode"": ""global_sqrt_negative_to_positive""}, ""target"": ""PositiveWeightedMultiLabelBCELoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}}",276187349,194761695,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/predictive-heads-initial-20260908-01__task_000003,True,True,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/configs/entropy-runs/predictive-heads-initial-20260908-01/plan/status/task_000003.yaml,ff133cd42f7af414ee3022e7947f94bcd301e0ce338f93da55895867ef10c9a7,63d67af42e30038bef1fbb98125bd6ccad588380dabc4de668acc50167a34723,a5d7efb7a6ea62831b16487e6675ffb395f704c73922c1a120913c22964c0a08,True,True,False,bce_global_positive_penalty (PositiveWeightedMultiLabelBCELoss),bce_global_positive_penalty,BCE + global positive penalty,1,#999999,solid,s,"{""family"": ""bce"", ""positive_penalty"": ""global""}"
predictive_initial,candidate,predictive_initial/task_000004,task_000004,grid_0000,4,completed,061bcbfb8c04,BCE + global positive penalty,molecule_binary,PositiveWeightedMultiLabelBCELoss,global_sqrt_negative_to_positive,0.2,0.0,{},"{""heads"": {""molecule_binary"": {""bce_global_positive_penalty"": {""params"": {""max_positive_weight"": 10.0, ""minimum_positive_count"": 10, ""positive_weight_mode"": ""global_sqrt_negative_to_positive""}, ""target"": ""PositiveWeightedMultiLabelBCELoss"", ""weight"": 0.2}}}, ""reconstruction"": {""masserstein"": {""target"": ""MassersteinLoss"", ""weight"": 1.0}}}",1915557887,1927548799,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/models/kidney/predictive-heads-initial-20260908-01__task_000004,True,True,/home/max/repositories/MSIAutoEncoderWrapper/data/kidney_workspace/configs/entropy-runs/predictive-heads-initial-20260908-01/plan/status/task_000004.yaml,ff133cd42f7af414ee3022e7947f94bcd301e0ce338f93da55895867ef10c9a7,63d67af42e30038bef1fbb98125bd6ccad588380dabc4de668acc50167a34723,a5d7efb7a6ea62831b16487e6675ffb395f704c73922c1a120913c22964c0a08,True,True,False,bce_global_positive_penalty (PositiveWeightedMultiLabelBCELoss),bce_global_positive_penalty,BCE + global positive penalty,1,#999999,solid,s,"{""family"": ""bce"", ""positive_penalty"": ""global""}"
