campaign,task_id,model_name,status,repetition,cell_label,penalty_metric,input_geometry,weight,hinge_threshold,hinge_alpha,penalized_space,calculation_method,recorded_epochs,model_id,source,grid_id,label,ready,model_alias,display_label,display_order,color,line_style,marker,tags_json
fischer-rao-spectral-hinge-experiment-20260906-01,fischer-rao-spectral-hinge-experiment-20260906-01__task_000000,fischer-rao-spectral-hinge-experiment-20260906-01__task_000000,completed,0,fisher_rao / spectral / w=1e-05,spectral,fisher_rao,1e-05,,1.0,u,exact_autograd_jacobian,16,fischer-rao-spectral-hinge-experiment-20260906-01__task_000000,fischer-rao-spectral-hinge-experiment-20260906-01,fisher_rao / spectral / w=1e-05,fisher_rao / spectral / w=1e-05,True,fischer-rao-spectral-hinge-experiment-20260906-01__task_000000,fisher_rao / spectral / w=1e-05,0,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01,fischer-rao-spectral-hinge-experiment-20260906-01__task_000001,fischer-rao-spectral-hinge-experiment-20260906-01__task_000001,completed,1,fisher_rao / spectral / w=1e-05,spectral,fisher_rao,1e-05,,1.0,u,exact_autograd_jacobian,16,fischer-rao-spectral-hinge-experiment-20260906-01__task_000001,fischer-rao-spectral-hinge-experiment-20260906-01,fisher_rao / spectral / w=1e-05,fisher_rao / spectral / w=1e-05,True,fischer-rao-spectral-hinge-experiment-20260906-01__task_000001,fisher_rao / spectral / w=1e-05,1,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01,fischer-rao-spectral-hinge-experiment-20260906-01__task_000002,fischer-rao-spectral-hinge-experiment-20260906-01__task_000002,completed,2,fisher_rao / spectral / w=1e-05,spectral,fisher_rao,1e-05,,1.0,u,exact_autograd_jacobian,16,fischer-rao-spectral-hinge-experiment-20260906-01__task_000002,fischer-rao-spectral-hinge-experiment-20260906-01,fisher_rao / spectral / w=1e-05,fisher_rao / spectral / w=1e-05,True,fischer-rao-spectral-hinge-experiment-20260906-01__task_000002,fisher_rao / spectral / w=1e-05,2,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01,fischer-rao-spectral-hinge-experiment-20260906-01__task_000003,fischer-rao-spectral-hinge-experiment-20260906-01__task_000003,completed,3,fisher_rao / spectral / w=1e-05,spectral,fisher_rao,1e-05,,1.0,u,exact_autograd_jacobian,16,fischer-rao-spectral-hinge-experiment-20260906-01__task_000003,fischer-rao-spectral-hinge-experiment-20260906-01,fisher_rao / spectral / w=1e-05,fisher_rao / spectral / w=1e-05,True,fischer-rao-spectral-hinge-experiment-20260906-01__task_000003,fisher_rao / spectral / w=1e-05,3,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01,fischer-rao-spectral-hinge-experiment-20260906-01__task_000004,fischer-rao-spectral-hinge-experiment-20260906-01__task_000004,completed,4,fisher_rao / spectral / w=1e-05,spectral,fisher_rao,1e-05,,1.0,u,exact_autograd_jacobian,16,fischer-rao-spectral-hinge-experiment-20260906-01__task_000004,fischer-rao-spectral-hinge-experiment-20260906-01,fisher_rao / spectral / w=1e-05,fisher_rao / spectral / w=1e-05,True,fischer-rao-spectral-hinge-experiment-20260906-01__task_000004,fisher_rao / spectral / w=1e-05,4,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01,fischer-rao-spectral-hinge-experiment-20260906-01__task_000005,fischer-rao-spectral-hinge-experiment-20260906-01__task_000005,completed,0,fisher_rao / spectral / w=1e-04,spectral,fisher_rao,0.0001,,1.0,u,exact_autograd_jacobian,16,fischer-rao-spectral-hinge-experiment-20260906-01__task_000005,fischer-rao-spectral-hinge-experiment-20260906-01,fisher_rao / spectral / w=1e-04,fisher_rao / spectral / w=1e-04,True,fischer-rao-spectral-hinge-experiment-20260906-01__task_000005,fisher_rao / spectral / w=1e-04,5,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01,fischer-rao-spectral-hinge-experiment-20260906-01__task_000006,fischer-rao-spectral-hinge-experiment-20260906-01__task_000006,completed,1,fisher_rao / spectral / w=1e-04,spectral,fisher_rao,0.0001,,1.0,u,exact_autograd_jacobian,16,fischer-rao-spectral-hinge-experiment-20260906-01__task_000006,fischer-rao-spectral-hinge-experiment-20260906-01,fisher_rao / spectral / w=1e-04,fisher_rao / spectral / w=1e-04,True,fischer-rao-spectral-hinge-experiment-20260906-01__task_000006,fisher_rao / spectral / w=1e-04,6,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01,fischer-rao-spectral-hinge-experiment-20260906-01__task_000007,fischer-rao-spectral-hinge-experiment-20260906-01__task_000007,completed,2,fisher_rao / spectral / w=1e-04,spectral,fisher_rao,0.0001,,1.0,u,exact_autograd_jacobian,16,fischer-rao-spectral-hinge-experiment-20260906-01__task_000007,fischer-rao-spectral-hinge-experiment-20260906-01,fisher_rao / spectral / w=1e-04,fisher_rao / spectral / w=1e-04,True,fischer-rao-spectral-hinge-experiment-20260906-01__task_000007,fisher_rao / spectral / w=1e-04,7,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01,fischer-rao-spectral-hinge-experiment-20260906-01__task_000008,fischer-rao-spectral-hinge-experiment-20260906-01__task_000008,completed,3,fisher_rao / spectral / w=1e-04,spectral,fisher_rao,0.0001,,1.0,u,exact_autograd_jacobian,16,fischer-rao-spectral-hinge-experiment-20260906-01__task_000008,fischer-rao-spectral-hinge-experiment-20260906-01,fisher_rao / spectral / w=1e-04,fisher_rao / spectral / w=1e-04,True,fischer-rao-spectral-hinge-experiment-20260906-01__task_000008,fisher_rao / spectral / w=1e-04,8,,solid,o,{}
fischer-rao-spectral-hinge-experiment-20260906-01,fischer-rao-spectral-hinge-experiment-20260906-01__task_000009,fischer-rao-spectral-hinge-experiment-20260906-01__task_000009,completed,4,fisher_rao / spectral / w=1e-04,spectral,fisher_rao,0.0001,,1.0,u,exact_autograd_jacobian,16,fischer-rao-spectral-hinge-experiment-20260906-01__task_000009,fischer-rao-spectral-hinge-experiment-20260906-01,fisher_rao / spectral / w=1e-04,fisher_rao / spectral / w=1e-04,True,fischer-rao-spectral-hinge-experiment-20260906-01__task_000009,fisher_rao / spectral / w=1e-04,9,,solid,o,{}
